Voxel,Best_Alpha
"(14, 21, 45)",5.0
"(14, 21, 46)",5.0
"(14, 21, 47)",5.0
"(14, 21, 48)",5.0
"(14, 21, 49)",5.0
"(14, 21, 50)",5.0
"(14, 22, 29)",5.0
"(14, 22, 30)",5.0
"(14, 22, 31)",5.0
"(14, 22, 32)",5.0
"(14, 22, 35)",5.0
"(14, 22, 44)",5.0
"(14, 22, 45)",5.0
"(14, 22, 46)",5.0
"(14, 22, 47)",5.0
"(14, 22, 48)",5.0
"(14, 22, 49)",5.0
"(14, 22, 50)",5.0
"(14, 22, 51)",5.0
"(14, 22, 52)",5.0
"(14, 23, 29)",5.0
"(14, 23, 30)",5.0
"(14, 23, 31)",5.0
"(14, 23, 32)",5.0
"(14, 23, 33)",5.0
"(14, 23, 43)",5.0
"(14, 23, 44)",5.0
"(14, 23, 45)",5.0
"(14, 23, 46)",5.0
"(14, 23, 47)",5.0
"(14, 23, 48)",5.0
"(14, 23, 49)",5.0
"(14, 23, 50)",5.0
"(14, 23, 51)",5.0
"(14, 23, 52)",5.0
"(14, 23, 53)",5.0
"(14, 23, 54)",5.0
"(14, 24, 29)",5.0
"(14, 24, 30)",5.0
"(14, 24, 31)",5.0
"(14, 24, 32)",5.0
"(14, 24, 33)",5.0
"(14, 24, 34)",5.0
"(14, 24, 35)",5.0
"(14, 24, 36)",5.0
"(14, 24, 40)",5.0
"(14, 24, 41)",5.0
"(14, 24, 42)",5.0
"(14, 24, 43)",5.0
"(14, 24, 44)",5.0
"(14, 24, 45)",5.0
"(14, 24, 46)",5.0
"(14, 24, 47)",5.0
"(14, 24, 48)",5.0
"(14, 24, 49)",5.0
"(14, 24, 50)",5.0
"(14, 24, 51)",5.0
"(14, 24, 52)",5.0
"(14, 24, 53)",5.0
"(14, 24, 54)",5.0
"(14, 24, 55)",5.0
"(14, 25, 29)",5.0
"(14, 25, 30)",5.0
"(14, 25, 31)",5.0
"(14, 25, 32)",5.0
"(14, 25, 33)",5.0
"(14, 25, 34)",5.0
"(14, 25, 35)",5.0
"(14, 25, 36)",5.0
"(14, 25, 37)",5.0
"(14, 25, 39)",5.0
"(14, 25, 40)",5.0
"(14, 25, 41)",5.0
"(14, 25, 42)",5.0
"(14, 25, 43)",5.0
"(14, 25, 44)",5.0
"(14, 25, 45)",5.0
"(14, 25, 46)",5.0
"(14, 25, 47)",5.0
"(14, 25, 48)",5.0
